,UUID,CREATE_TIME,UPDATE_TIME,SENDER,MESSAGE,SEND_TIME,GROUP_NAME,GROUP_ID,labels
124,91a7a69e-f298-473f-9fa0-639c1b9bd86f,2023/2/1 18:23:51,,15399,[邮箱运维说可能要找安全的老师申请下白名单？],2022-01-04 13:29:21,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
54,8f27c40c-8517-46be-984b-b5faac1bc167,2023/2/1 18:23:41,,6048,[ping通，telnet不通，明显防火墙策略限制，在IT资源里面走防火墙策略申请流程],2022-01-04 13:30:11,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
125,25143da0-e808-422a-99fd-c9693e135d13,2023/2/1 18:23:51,,15399,[好的，谢谢~],2022-01-04 13:32:15,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
55,de99e836-6a47-4387-ba6c-4ddb4338e188,2023/2/1 18:23:42,,2645,[5178470bd6a76ac37cb7b42cda5708eb.jpg],2022-01-05 08:26:10,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
56,d589d36a-db6f-4365-88f9-0e338630254d,2023/2/1 18:23:42,,2645,[谁的车停我位子了],2022-01-05 08:26:33,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
112,c4767fd2-0740-43a8-9ddc-dcad4c035575,2023/2/1 18:23:50,,16147,[请问开发商邻客是哪位老师负责？],2022-01-05 09:46:07,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
75,ec01f121-44f9-453a-b255-2bfd43ea457e,2023/2/1 18:23:43,,11413,"[“请问开发商邻客是哪位老师负责？”
------
, 可联系下马杰老师]",2022-01-05 09:47:00,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
57,990425a8-ae67-4f3c-a520-a33a2b6b7998,2023/2/1 18:23:42,,16147,[谢谢],2022-01-05 09:49:30,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
58,1b282d19-4adb-48b7-ba5b-8b0ff0ec1346,2023/2/1 18:23:42,,19337,[企业微信截图_1641349409482.png],2022-01-05 10:28:58,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
59,8ba94339-c1be-4b8f-a0c7-a9be8fcc9871,2023/2/1 18:23:42,,19337,[it资源管理平台的防火墙策略加载不出来，请问有老师能帮忙看看吗],2022-01-05 10:28:58,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
102,7a0de71f-1865-4859-a571-394d104a907c,2023/2/1 18:23:49,,15329,"[“it资源管理平台的防火墙策略加载不出来，请问有老师能帮忙看看吗”
------
, 私聊]",2022-01-05 10:29:25,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
103,e1baacfb-ac1b-4f0f-bbdf-6081987f435e,2023/2/1 18:23:49,,16534,[有人升级铃客后 经常遇到打开铃客 它总是自动最小化 需要强制退出后才能打开的情况嘛 重新安装了两次还是不行。。。],2022-01-05 11:04:47,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
79,e274f27a-fadf-41e2-9c07-e5c539272044,2023/2/1 18:23:44,,16446,"[“有人升级铃客后 经常遇到打开铃客 它总是自动最小化 需要强制退出后才能打开的情况嘛 重新安装了两次还是不行。。。”
------
, 你好，铃客使用中遇到的问题可以直接联系“铃客服务”支持人员]",2022-01-05 11:14:53,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
104,a258dd96-c99a-4a15-82ac-5674881c2a49,2023/2/1 18:23:49,,12131,[企业微信截图_16413525824495.png],2022-01-05 11:16:22,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
80,b5f5bdaa-bc28-460e-a1bd-82eb495cab99,2023/2/1 18:23:44,,16534,[好的谢谢],2022-01-05 11:20:22,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
107,a49a381b-baea-46ae-a307-8b3121d7a83a,2023/2/1 18:23:49,,10480,[企业微信截图_16412656371439.png],2022-01-05 11:44:43,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
92,a7cfa8a6-76ba-41c2-849c-1e2dc13d5aac,2023/2/1 18:23:46,,11048,[最近停车越来越难了，8:30以后想找非固定车位负一负二两层都很难找到，请问这个事情还有后续的解决方案吗],2022-01-06 08:57:12,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
93,de7848b1-3a59-4770-a00b-3dba3b5a84ce,2023/2/1 18:23:46,,15580,[广场B1、B2层公共车位分布图.rar],2022-01-06 09:02:47,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
98,5c65b680-03ff-41b8-afec-517d80edce22,2023/2/1 18:23:48,,15580,"[“最近停车越来越难了，8:30以后想找非固定车位负一负二两层都很难找到，请问这个事情还有后续的解决方案吗”
------
, 这是综合事务部前期整理的公司停车位，玫红色部分为非固定车位哈~]",2022-01-06 09:04:06,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
94,c7f3a6ef-de46-4681-8b2d-d756c55a2e36,2023/2/1 18:23:47,,10480,[企业微信截图_16414470268268.png],2022-01-06 13:30:28,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
76,99385be4-8cf2-4d32-b839-4a8421597acd,2023/2/1 18:23:44,,10480,"[各位同事：
       第十届《TOP100全球软件案例研究峰会》，定于1月6日至1月9日举办，今天下午起将为大家进行在线转播。
       以下为今天下午的开幕式日程，请通过腾讯会议号：141 573 302 在线观看，7日-9日的观看会议号将另行通知。欢迎技术小伙伴根据日程表预留好时间观看学习。
       更多会议日程详见官网https://www.top100summit.com/Project?tar=1，]",2022-01-06 13:30:42,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
77,93894565-c35a-4281-8c33-f00fb81109b0,2023/2/1 18:23:44,,10480,[开幕式马上开始啦，日程见上图，感兴趣的小伙伴赶紧进腾讯会议吧],2022-01-06 13:31:30,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
95,8f46de7a-c822-4661-8467-52781eeae616,2023/2/1 18:23:47,,10480,[企业微信截图_16414528899038.png],2022-01-06 15:08:41,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
96,58936c11-c841-4b01-b0ec-af7585ca877b,2023/2/1 18:23:47,,10480,[《TOP100全球软件案例研究峰会》今天下午场完整的日程。大家可以根据需要和兴趣，在时间段内加入腾讯会议：141 573 302 ],2022-01-06 15:10:02,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
97,ec1356cc-2d69-41dd-b3d6-81b696fea696,2023/2/1 18:23:47,,5781,[有录吗？],2022-01-06 15:14:38,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
118,964e18c8-37a0-4192-becb-aefe0e95f258,2023/2/1 18:23:51,,14357,[敏捷大咖说 - FPA需求规模估算法.png],2022-01-06 16:00:37,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
119,0fef0ac9-a0c5-4291-953f-943074e9d548,2023/2/1 18:23:51,,14357,[FPA需求规模估算法，是一套软件规模估算的国际标准方法，不仅能客观反映软件规模，同时还能起到需求澄清的作用，成为业务人员和研发人员需求沟通的桥梁。本期【敏捷大咖说】，Hi-Agile创始人/首席专家郑立老师给我们分享一下如何做FPA需求规模估算。就在今天16:00-17:00，腾讯会议ID：848 446 884],2022-01-06 16:00:52,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
132,10bc89e0-7759-42b3-b0b9-4a55f74adcc7,2023/2/1 18:23:52,,10480,[企业微信截图_16415165441641.png],2022-01-07 08:49:27,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
105,d3130882-ceb2-48fc-9e47-902a046fedfd,2023/2/1 18:23:49,,10480,[9:00各个专场即将开始，今天日程可阅上图，大家可以按需要在对应时间内进入腾讯会议号观看！],2022-01-07 08:51:19,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
117,58eb80ac-dfb4-4a71-8135-b2caf6bea6a1,2023/2/1 18:23:50,,2376,[咨询一个问题，华为擎云L410，登录HTSC后显示“已连接网络但无法访问互联网”，手机登录HTSC没有问题。],2022-01-07 08:53:19,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
133,2141c380-3257-42a6-9a0a-511efd000986,2023/2/1 18:23:52,,19102,[1466122252631795951.jpg],2022-01-07 08:56:04,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
106,dbd878fc-4dc0-484c-9934-e4f1ffe7c689,2023/2/1 18:23:49,,19102,[有人在4号楼五楼丢了一对airpods吗],2022-01-07 08:56:20,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
137,0f99acb0-8125-4443-a9c5-b051d58b41ed,2023/2/1 18:23:53,,2376,[咨询一个问题，华为擎云L410，登录HTSC后显示“已连接网络但无法访问互联网”，手机登录HTSC没有问题。是不是电脑的mac地址被限制了？需要哪位同事可以解决？],2022-01-07 09:06:09,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
138,e024392c-dc87-470a-ba0d-31d45f83ccd5,2023/2/1 18:23:53,,18983,[陆老师，这个腾讯会议需要邀请吗],2022-01-07 09:13:16,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
60,eb9cdcaf-ad16-414a-b519-760a374909b3,2023/2/1 18:23:42,,18983,[我怎么进不去],2022-01-07 09:13:22,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
61,ca9b2c86-09bc-4f30-95c6-c8cfdcea036f,2023/2/1 18:23:42,,10480,[哪一个专场？],2022-01-07 09:14:12,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
62,bc633f04-129b-4796-bd26-e3324e80e9e1,2023/2/1 18:23:42,,10480,[企业微信截图_16415165441641.png],2022-01-07 09:14:27,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
81,ae8baaa7-5bb2-4136-be3a-5c8700196deb,2023/2/1 18:23:44,,18983,[858 2408 3696架构这个],2022-01-07 09:14:31,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
139,2fb4f145-cdbc-4336-9bf8-dd87d2b5bd21,2023/2/1 18:23:53,,12736,[爆款架构],2022-01-07 09:14:40,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
63,40adcc97-e084-4317-881f-b1c6b433bb93,2023/2/1 18:23:42,,18983,[进来了，谢谢！],2022-01-07 09:15:54,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
64,cd023d2e-a486-4fe2-a0c0-a82505a030d3,2023/2/1 18:23:42,,19337,[陆老师，我们看的画面一直停在大会日程],2022-01-07 09:25:07,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
65,4fbc1135-a5f8-407f-a287-d9fa9a3a056e,2023/2/1 18:23:42,,10480,[已经调整了，现在好了吧],2022-01-07 09:27:52,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
140,2175d42b-f9b8-41c1-a90d-5e1868334d07,2023/2/1 18:23:53,,19337,[好了],2022-01-07 09:28:50,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
141,9961b46b-3c3f-4102-9f18-169336670c15,2023/2/1 18:23:53,,5781,"[“咨询一个问题，华为擎云L410，登录HTSC后显示“已连接网络但无法访问互联网”，手机登录HTSC没有问题。是不是电脑的mac地址被限制了？需要哪位同事可以解决？”
------
, 你看一下ip，如果是是160.8的ip就表示被正确识别为pc，也就不能访问互联网了，只能访问云桌面]",2022-01-07 09:29:54,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
66,b802e66c-7034-4ca7-a2e3-95c703cff917,2023/2/1 18:23:42,,2376,[问了几个同事，华为擎云L410电脑都显示“已连接网络但无法访问互联网”],2022-01-07 09:35:21,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
82,583b0e96-a066-471d-84c5-26364a2a7329,2023/2/1 18:23:44,,2376,[不是我个人账号的问题],2022-01-07 09:35:45,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
67,ac31d6dc-61fc-45c9-b101-a23724d1950e,2023/2/1 18:23:42,,2376,[明白了],2022-01-07 09:37:23,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
83,ea0d7a63-47e8-4360-8590-6fb6f8820964,2023/2/1 18:23:44,,12383,[请问合同在线编辑不了，换了三个浏览器都不行，这个联系谁处理？],2022-01-07 09:41:00,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
142,92cc83d4-39ec-42c3-b8ab-e83a0408b399,2023/2/1 18:23:53,,12383,[企业微信截图_16415196547183.png],2022-01-07 09:41:01,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
84,f9049f82-178e-492f-ba59-f6e537a11721,2023/2/1 18:23:44,,13912,"[“请问合同在线编辑不了，换了三个浏览器都不行，这个联系谁处理？”
------
, 私聊]",2022-01-07 09:41:27,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
68,e2a03089-eec2-4a27-97ad-1064477bcdda,2023/2/1 18:23:42,,12383,"[““请问合同在线编辑不了，换了三个浏览器都不行，这个联系谁处理？”
------
@季亮 私聊”
------
, 可以了，感谢支持]",2022-01-07 09:46:32,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
85,f38d580e-9a1c-4704-a5f7-7327ba7a1a63,2023/2/1 18:23:44,,13320,"[各位老师，正在直播的Top100峰会，今天日程的ppt已经放在华泰云盘 https://htpan.htsc.com.cn/l/iFsMwH 
如果有的ppt缺失，说明演讲嘉宾不共享ppt]",2022-01-07 09:52:38,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
72,6b9bdb2c-058f-4329-aa82-7b215c0423e1,2023/2/1 18:23:43,,18142,[1f993d07732f68c065749f96d179b1ec.jpg],2022-01-07 10:38:59,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
145,74b1aa12-a1f1-450c-8e17-bbf6cd4f8c92,2023/2/1 18:23:53,,18142,[电脑重启，输入工号密码后一直停在这个页面，请问找谁呢],2022-01-07 10:39:28,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
73,cf1f2c4e-f891-41b4-a962-885e02e88caa,2023/2/1 18:23:43,,6623,"[“电脑重启，输入工号密码后一直停在这个页面，请问找谁呢”
------
, 【吉山新桌面400热线】4008775995]",2022-01-07 10:40:52,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
88,cfc60019-545c-4f72-b41c-5ccf5d99a635,2023/2/1 18:23:45,,18142,"[““电脑重启，输入工号密码后一直停在这个页面，请问找谁呢”
------
@赵泽华 【吉山新桌面400热线】4008775995”
------
, 已解决，谢谢]",2022-01-07 10:55:22,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
146,786d7887-a323-4361-a713-090fbdfa6139,2023/2/1 18:23:53,,18983,[532a74a3278e5c7c800cbcf5a1258438.jpg],2022-01-07 11:27:26,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
89,318fb681-5bd6-4199-badc-7381c8cbcd10,2023/2/1 18:23:45,,18983,[Citrix问题联系哪位],2022-01-07 11:27:37,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
147,195af9be-727c-4577-a385-0b30311131d0,2023/2/1 18:23:53,,18983,[一直不下载],2022-01-07 11:27:41,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
74,e684fc3c-bb5b-4746-8e19-7c01955dd706,2023/2/1 18:23:43,,19061,[https://s3-000347-cloud-receiver-download.s3.cn-northwest-1.amazonaws.com.cn/CitrixWorkspaceApp.exe],2022-01-07 11:29:02,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
90,7cb4d6e2-a2e4-4cdf-9321-cf06b94844aa,2023/2/1 18:23:45,,19061,[试试这个。],2022-01-07 11:29:09,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
91,cff78498-deeb-4f9b-b5f8-1c6f5cbaa498,2023/2/1 18:23:45,,18983,[好的],2022-01-07 11:31:25,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
134,b23ded8b-22da-4d76-b93d-d07b3effbfe5,2023/2/1 18:23:52,,11152,"[专场	产品创新
转播联系人	潘同希
腾讯会议号	423 7937 6005
联席主席	如影智能创始人&CEO、前小米生态链副总裁唐沐
09:00-10:00	《产品创新打造智能生活新体验》
陈勇
如影智能副总裁
10:00-11:00	《共创三步曲之B端业务场景软硬一体：智能硬件产品如何从0-1》
祝振翔
阿里巴巴盒马门店数智化&AIoT 产品专家
11:00-12:00	《从零到一构建AI产品：服务机器人智能交互平台的落地实践》
唐云峰
科大讯飞苏州研究院机器人业务线产品总监
联席主席	喜马拉雅产品SVP秦雷
13:30-14:30	《全国第一个政务服务微信小程序粤省事用户数从0到1.4亿的产品演进之路》
劳学礼
数字广东产品研发部副总经理
14:30-15:30	《同程旅行机票盲盒-产品创新引爆社交平台》
杨威
同程旅行 高级增长专家
15:50-16:50	《视频剪辑场景下如何通过体验式洞察进行产品创新》                  杨宇宁                                                      字节跳动 某内容平台产品负责人
16:50-17:50	《亿级用户千万日活：线上银发流量商业化探索之路》
李辉
小年糕合伙人]",2022-01-07 13:52:05,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
113,5c561282-d94c-41c1-ab4b-50fa1e5b3be1,2023/2/1 18:23:50,,11152,[企业微信截图_16415347552657.png],2022-01-07 13:52:51,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
108,17a1e2f5-add0-4bff-a5c2-aa3980c2027e,2023/2/1 18:23:49,,11152,[TOP100产品创新专场，下午精彩继续哈 ，会议号423 7937 6005],2022-01-07 13:53:18,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
135,58610945-7a96-42c4-a4a2-78fa47c749d0,2023/2/1 18:23:52,,10480,[企业微信截图_16415165441641.png],2022-01-07 14:00:56,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
109,a743594f-2528-482c-aa26-2aadb42f1b74,2023/2/1 18:23:49,,10480,[大家规划好时间，参加下午场哦],2022-01-07 14:01:14,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
114,89600173-8984-4e98-bd9c-19369ced2797,2023/2/1 18:23:50,,12131,[公司2022年春节期间慰问生活困难员工和党员工作已启动，我刚刚已群发邮件，请大家关注。慰问申请截止时间：2022年1月11日（下周二）17:00，有问题可与我联系。],2022-01-07 14:26:03,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
115,a826b7cf-0ada-4463-badb-7e3ec77e4c0b,2023/2/1 18:23:50,,10480,[爆款架构专场，已恢复正常],2022-01-07 14:36:10,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
110,cce4322f-a0e5-4592-a5e9-055a19eff4ce,2023/2/1 18:23:49,,15564,[请问一下开发商云桌面 登不上可以联系哪位老师],2022-01-07 15:04:56,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
111,31d0cd47-a944-4cf3-9e0a-309b0e2d04c5,2023/2/1 18:23:49,,19189,"[“请问一下开发商云桌面 登不上可以联系哪位老师, ”
------
, 私聊]",2022-01-07 15:10:32,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
136,c4a43675-3336-4c26-aad4-c13bc124efa5,2023/2/1 18:23:52,,18389,[请问一下12.29日参加华泰云端学院High Survey直播活动 有幸中奖的宠儿联系哪位老师领取礼物呢？],2022-01-07 15:15:09,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,1
116,c51ac314-7688-49f3-8653-5e65a18e1c6c,2023/2/1 18:23:50,,18389,[等一个老师私聊~],2022-01-07 15:53:35,,MTk3MDMyNTA4NDExOTkwMVRW_kycxkxMrPW6oP9Ekuo,0
